,search_city,business_name,rating,food_tags,first_review_date,last_review_date,review_num,address,city,state,street,zip5
13,New York,Macao Imperial Tea,4.0,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,8/20/2019,10/24/2020,63.0,"15 W 32nd St,New York, NY 10001",New York,NY,15 W 32nd St,10001
14,New York,Kung Fu Tea,3.0,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,4/7/2013,10/16/2020,146.0,"70-10 Austin St,Ste 3,Forest Hills, NY 11375",Forest Hills,NY,70-10 Austin St,11375
15,New York,Yummy Machi,4.0,Japanese/Bubble Tea/Chicken Wings,9/5/2013,10/10/2020,69.0,"2236 Forest Ave,Ste 3,Staten Island, NY 10303",Staten Island,NY,2236 Forest Ave,10303
16,New York,Boba Le Tea Cafe,5.0,Bubble Tea/Poke/Cafes,8/1/2019,9/6/2020,25.0,"1396 B Forest Ave,Staten Island, NY 10302",Staten Island,NY,1396 B Forest Ave,10302
17,New York,Teadora,4.0,Bubble Tea/Tabletop Games,10/25/2017,10/1/2020,74.0,"6609 Fort Hamilton Pkwy,Brooklyn, NY 11219",Brooklyn,NY,6609 Fort Hamilton Pkwy,11219
18,New York,MomenTea,4.0,Poke/Bubble Tea/Sushi Bars,1/11/2018,8/29/2020,151.0,"64 7th Ave,New York, NY 10011",New York,NY,64 7th Ave,10011
19,New York,YanYan Tea,4.0,Bubble Tea,9/28/2019,10/23/2020,34.0,"135-03A Roosevelt Ave,Flushing, NY 11354",Flushing,NY,135-03A Roosevelt Ave,11354
20,New York,Panda Bubble Tea,3.0,Bubble Tea/Taiwanese/Creperies,1/17/2014,3/4/2020,182.0,"858 Lexington Ave,New York, NY 10065",New York,NY,858 Lexington Ave,10065
21,New York,CoCo Fresh Tea & Juice,3.0,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,8/22/2014,9/11/2020,106.0,"12 John St,New York, NY 10038",New York,NY,12 John St,10038
22,New York,mellow tea,4.0,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,11/5/2018,7/10/2020,25.0,"1268 Amsterdam Ave,Ste B,New York, NY 10027",New York,NY,1268 Amsterdam Ave,10027
23,New York,The Alley,3.0,Taiwanese/Coffee & Tea/Bubble Tea,6/15/2019,10/30/2020,150.0,"68 Cooper Sq,New York, NY 10003",New York,NY,68 Cooper Sq,10003
24,New York,Mr. Wish,4.0,Bubble Tea/Juice Bars & Smoothies/Tea Rooms,8/24/2017,10/14/2020,67.0,"86 5th Ave,Brooklyn, NY 11217",Brooklyn,NY,86 5th Ave,11217
25,New York,Gotcha Cafe,4.0,Bubble Tea,8/8/2019,8/31/2020,38.0,"1712 86th St,Brooklyn, NY 11214",Brooklyn,NY,1712 86th St,11214
26,New York,Hanco's,4.0,Vietnamese/Bubble Tea/Coffee & Tea,1/31/2007,9/30/2020,688.0,"134 Smith St,Brooklyn, NY 11201",Brooklyn,NY,134 Smith St,11201
27,New York,Vivi Bubble Tea,4.0,Bubble Tea/Tea Rooms,10/11/2015,10/17/2020,100.0,"35-16 Ditmars Blvd,Astoria, NY 11105",Astoria,NY,35-16 Ditmars Blvd,11105
28,New York,ViVi Bubble Tea,3.0,Taiwanese/Bubble Tea/Coffee & Tea,5/4/2014,7/18/2020,144.0,"226 E 14th St,New York, NY 10003",New York,NY,226 E 14th St,10003
29,New York,ViVi Bubble Tea,4.0,Bubble Tea,7/13/2018,7/15/2020,36.0,"532B Forest Ave,Staten Island, NY 10310",Staten Island,NY,532B Forest Ave,10310
30,New York,Coco Fresh Tea & Juice,4.0,Bubble Tea/Juice Bars & Smoothies,12/11/2013,3/21/2020,69.0,"79 Division St,New York, NY 10002",New York,NY,79 Division St,10002
31,New York,Sashimi Ramen Express,4.0,Sushi Bars/Bubble Tea/Ramen,9/23/2015,10/15/2020,314.0,"341 E 78th St,New York, NY 10075",New York,NY,341 E 78th St,10075
32,New York,Yifang Taiwan Fruit Tea,3.0,Bubble Tea,6/14/2019,10/24/2020,98.0,"67 Bayard St,New York, NY 10013",New York,NY,67 Bayard St,10013
33,New York,Bubbly Tea,4.0,Bubble Tea,6/30/2011,9/11/2020,289.0,"55 Bayard St,New York, NY 10013",New York,NY,55 Bayard St,10013
34,New York,Juicy Cube,4.0,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,6/21/2012,10/30/2020,214.0,"674 Lexington Ave,New York, NY 10022",New York,NY,674 Lexington Ave,10022
35,New York,M Tea,3.0,Bubble Tea/Desserts/Juice Bars & Smoothies,10/11/2019,11/1/2020,71.0,"36-56 Main St,Flushing, NY 11354",Flushing,NY,36-56 Main St,11354
36,New York,Tea Magic,4.0,Bubble Tea,11/28/2018,8/4/2020,24.0,"239 W 72nd St,New York, NY 10023",New York,NY,239 W 72nd St,10023
37,New York,Gong Cha,4.0,Bubble Tea,9/2/2018,9/11/2020,32.0,"2810 Broadway,New York, NY 10025",New York,NY,2810 Broadway,10025
38,New York,Moge Tee,4.0,Coffee & Tea,10/13/2018,10/3/2020,100.0,"69 Cooper Sq,New York, NY 10003",New York,NY,69 Cooper Sq,10003
39,New York,Boba Dumbo,4.0,Bubble Tea/Ice Cream & Frozen Yogurt/Coffee & Tea,12/3/2019,8/23/2020,15.0,"52 Jay St,Brooklyn, NY 11201",Brooklyn,NY,52 Jay St,11201
40,New York,Yifang Taiwan Fruit Tea,3.0,Bubble Tea/Tea Rooms,9/9/2019,10/30/2020,34.0,"33 St Marks Pl,New York, NY 10003",New York,NY,33 St Marks Pl,10003
41,New York,Boba Fries,4.0,Bubble Tea/Fast Food,8/30/2019,10/17/2020,52.0,"8121 Broadway,Elmhurst, NY 11373",Elmhurst,NY,8121 Broadway,11373
42,New York,Gong Cha,4.0,Bubble Tea,5/4/2016,8/8/2020,129.0,"72 Bayard St,New York, NY 10013",New York,NY,72 Bayard St,10013
43,New York,Something Sweet,4.0,Ice Cream & Frozen Yogurt/Desserts/Bubble Tea,6/17/2011,9/18/2020,103.0,"314 New Dorp Ln,Staten Island, NY 10306",Staten Island,NY,314 New Dorp Ln,10306
44,New York,Kung Fu Tea,4.0,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,11/27/2018,9/18/2020,63.0,"115 E 23rd St,New York, NY 10010",New York,NY,115 E 23rd St,10010
45,New York,Juice Vitality,5.0,Juice Bars & Smoothies/Bubble Tea/Acai Bowls,1/7/2016,10/10/2020,180.0,"192 1st Ave,New York, NY 10009",New York,NY,192 1st Ave,10009
46,New York,Mudflow Tea House,4.0,Bubble Tea/Juice Bars & Smoothies,9/23/2018,9/19/2020,62.0,"5602 8th Ave,Sidedoor,Brooklyn, NY 11220",Brooklyn,NY,5602 8th Ave,11220
47,New York,Taiwan Bear House,4.0,Taiwanese/Bubble Tea/Chinese,5/30/2015,10/19/2020,303.0,"11 Pell St,New York, NY 10013",New York,NY,11 Pell St,10013
48,New York,La Mian Lounge,4.0,Chinese/Hong Kong Style Cafe/Bubble Tea,1/4/2020,10/18/2020,65.0,"25-12 Broadway,Astoria, NY 11106",Astoria,NY,25-12 Broadway,11106
49,New York,Gong Cha,4.0,Bubble Tea,11/13/2018,7/23/2020,49.0,"200 Broadway,Fulton Center,New York, NY 10038",New York,NY,200 Broadway,10038
50,New York,Tiger Sugar,4.0,Bubble Tea/Coffee & Tea/Desserts,9/19/2020,11/1/2020,17.0,"2132 86th St,Brooklyn, NY 11214",Brooklyn,NY,2132 86th St,11214
51,New York,Yi Fang Taiwan Fruit Tea,3.0,Bubble Tea,6/16/2018,10/23/2020,291.0,"135-15 40th Rd,Flushing, NY 11354",Flushing,NY,135-15 40th Rd,11354
52,New York,Gong Cha,4.0,Bubble Tea,6/21/2017,10/27/2020,95.0,"160 E 44th St,New York, NY 10017",New York,NY,160 E 44th St,10017
53,New York,Tornado Crepe,4.0,Creperies/Bubble Tea/Ice Cream & Frozen Yogurt,11/5/2016,9/22/2020,53.0,"307 Knickerbocker Ave,Brooklyn, NY 11237",Brooklyn,NY,307 Knickerbocker Ave,11237
54,New York,Modern Tea Shop,4.0,Bubble Tea,9/11/2019,10/7/2020,50.0,"300 W 49th St,New York, NY 10019",New York,NY,300 W 49th St,10019
55,New York,Jupioca,4.0,Juice Bars & Smoothies/Bubble Tea/Ice Cream & Frozen Yogurt,2/12/2017,1/24/2020,24.0,"278 Wyckoff Ave,Brooklyn, NY 11237",Brooklyn,NY,278 Wyckoff Ave,11237
56,New York,MomenTea Kitchen,4.0,Sushi Bars/Bubble Tea/Noodles,11/15/2019,10/23/2020,52.0,"213 W 40th St,New York, NY 10018",New York,NY,213 W 40th St,10018
57,New York,CoCo Fresh Tea & Juice,3.0,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,5/20/2014,11/1/2020,165.0,"45-40 Bell Blvd,Bayside, NY 11361",Bayside,NY,45-40 Bell Blvd,11361
58,New York,Vivi Bubble Tea,3.0,Bubble Tea,12/3/2015,9/23/2020,65.0,"18 W 14th St,New York, NY 10011",New York,NY,18 W 14th St,10011
59,New York,Happy Lemon,4.0,Taiwanese/Bubble Tea/Juice Bars & Smoothies,11/9/2014,4/19/2020,140.0,"133-35 Roosevelt Ave,Ste 11,Flushing, NY 11354",Flushing,NY,133-35 Roosevelt Ave,11354
60,New York,Jupioca,4.0,Acai Bowls/Bubble Tea/Juice Bars & Smoothies,3/22/2017,,42.0,"1457 York Ave,New York, NY 10075",New York,NY,1457 York Ave,10075
61,New York,Bubbleology,3.0,Bubble Tea/Waffles/Juice Bars & Smoothies,2/4/2019,10/21/2020,85.0,"120 1/2 1st Ave,New York, NY 10009",New York,NY,120 1/2 1st Ave,10009
62,New York,Tea and Milk,5.0,Bubble Tea/Coffee & Tea,10/31/2020,11/1/2020,3.0,"75 9th Ave Lower Level,Inside Pearl River Foods,Chelsea Market,New York, NY 10011",New York,NY,75 9th Ave Lower Level,10011
63,New York,CoCo Fresh Tea & Juice,3.0,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,6/18/2011,10/16/2020,219.0,"39-22 Main St,Flushing, NY 11354",Flushing,NY,39-22 Main St,11354
64,New York,Hanco's,3.0,Vietnamese/Sandwiches/Bubble Tea,9/11/2011,,301.0,"147 Montague St,Brooklyn, NY 11201",Brooklyn,NY,147 Montague St,11201
65,New York,Kathy's Dumplings,4.0,Chinese,1/30/2013,10/17/2020,225.0,"7924 3rd Ave,Brooklyn, NY 11209",Brooklyn,NY,7924 3rd Ave,11209
66,New York,Moge Tee,4.0,Bubble Tea/Sushi Bars,12/10/2018,8/29/2020,82.0,"302 West 39th St,New York, NY 10018",New York,NY,302 West 39th St,10018
67,New York,Siips Bubble,4.0,Bubble Tea/Coffee & Tea,9/22/2019,9/30/2020,7.0,"7408 Grand Ave,Elmhurst, NY 11373",Elmhurst,NY,7408 Grand Ave,11373
68,New York,Hanco's,4.0,Vietnamese/Bubble Tea,2/21/2009,10/27/2020,524.0,"350 7th Ave,Brooklyn, NY 11215",Brooklyn,NY,350 7th Ave,11215
69,New York,CoCo Fresh Tea & Juice,5.0,Bubble Tea,8/25/2020,8/31/2020,3.0,"501 Great Neck Rd,Great Neck, NY 11021",Great Neck,NY,501 Great Neck Rd,11021
70,New York,YiFang Taiwan Fruit Tea,4.0,Bubble Tea,12/18/2019,9/22/2020,8.0,"61 Lexington Ave,New York, NY 10010",New York,NY,61 Lexington Ave,10010
71,New York,The Alley,3.0,Bubble Tea/Coffee & Tea,11/25/2019,10/31/2020,131.0,"38-02 Prince St,Flushing, NY 11354",Flushing,NY,38-02 Prince St,11354
72,New York,Vivi Bubble Tea,4.0,Bubble Tea,2/19/2019,10/16/2020,51.0,"337 New Dorp Ln,Staten Island, NY 10306",Staten Island,NY,337 New Dorp Ln,10306
73,New York,Gong Cha,3.0,Bubble Tea,3/20/2015,9/25/2020,327.0,"12 W 32nd St,New York, NY 10001",New York,NY,12 W 32nd St,10001
74,New York,Vivi Bubble Tea,4.0,Bubble Tea,10/26/2018,9/19/2020,30.0,"31-54 Steinway St,Long Island City, NY 11103",Long Island City,NY,31-54 Steinway St,11103
75,New York,Macao Imperial Tea,4.0,Bubble Tea/Coffee & Tea,2/2/2019,8/3/2020,58.0,"173 Hester St,New York, NY 10013",New York,NY,173 Hester St,10013
76,New York,Yummy Boba Desserts,4.0,Desserts/Bubble Tea,7/27/2019,9/6/2020,8.0,"5814 7th Ave,Brooklyn, NY 11220",Brooklyn,NY,5814 7th Ave,11220
77,New York,PokéBowl Station,4.0,Poke/Bubble Tea/Salad,10/27/2017,9/14/2020,94.0,"237 Flatbush Ave,Brooklyn, NY 11217",Brooklyn,NY,237 Flatbush Ave,11217
78,New York,Hawa Smoothies and Bubble Tea,4.0,Bubble Tea/Juice Bars & Smoothies/Acai Bowls,12/2/2018,10/6/2020,33.0,"1293 1st Ave,New York, NY 10021",New York,NY,1293 1st Ave,10021
79,New York,Mi Tea,3.0,Bubble Tea,11/24/2019,9/8/2020,7.0,"2046 86th St,Brooklyn, NY 11214",Brooklyn,NY,2046 86th St,11214
80,New York,Squarrel Cafe,4.0,Coffee & Tea/Tabletop Games/Bubble Tea,8/12/2019,10/20/2020,50.0,"572 Atlantic Ave,Brooklyn, NY 11217",Brooklyn,NY,572 Atlantic Ave,11217
81,New York,Utepia Tea,4.0,Bubble Tea,11/30/2018,8/24/2020,48.0,"167 Canal St,New York, NY 10013",New York,NY,167 Canal St,10013
82,New York,In Cha,3.0,Bubble Tea/Noodles,6/28/2019,9/10/2020,25.0,"6003 7th Ave,Brooklyn, NY 11220",Brooklyn,NY,6003 7th Ave,11220
83,New York,Debutea,5.0,Salad/Coffee & Tea/Juice Bars & Smoothies,6/12/2020,10/26/2020,16.0,"71 Smith St,Brooklyn, NY 11201",Brooklyn,NY,71 Smith St,11201
84,New York,Prince Tea House,5.0,Tea Rooms/Desserts/Breakfast & Brunch,9/4/2020,11/1/2020,23.0,"204 E 10th St,New York, NY 10003",New York,NY,204 E 10th St,10003
85,New York,Moge Tee,4.0,Bubble Tea/Desserts/Tea Rooms,9/24/2020,10/30/2020,17.0,"2013 86th St,Brooklyn, NY 11214",Brooklyn,NY,2013 86th St,11214
86,New York,Mr. Wish,4.0,Bubble Tea/Juice Bars & Smoothies/Tea Rooms,5/26/2017,10/18/2020,117.0,"80-62 Lefferts Blvd,Kew Gardens, NY 11415",Kew Gardens,NY,80-62 Lefferts Blvd,11415
87,New York,Uncle Drink,4.0,Bubble Tea/Juice Bars & Smoothies,3/11/2016,9/13/2020,53.0,"32-55 Steinway St,Astoria, NY 11103",Astoria,NY,32-55 Steinway St,11103
88,New York,Banhmigos,3.0,Vietnamese/Sandwiches/Bubble Tea,1/13/2015,10/11/2020,167.0,"636 Park Pl,Brooklyn, NY 11238",Brooklyn,NY,636 Park Pl,11238
89,New York,Lil M Bubble Tea,4.0,Chicken Wings/Bubble Tea,9/3/2019,2/23/2020,5.0,"597 Manor Rd,Staten Island, NY 10314",Staten Island,NY,597 Manor Rd,10314
90,New York,Juicy Cube,4.0,Acai Bowls/Bubble Tea/Juice Bars & Smoothies,3/13/2017,8/18/2020,56.0,"166 W 72nd St,New York, NY 10023",New York,NY,166 W 72nd St,10023
91,New York,Momo Ashi,4.0,Bubble Tea/Coffee & Tea/Waffles,12/15/2018,10/31/2020,124.0,"40-06 Bell Blvd,Bayside, NY 11361",Bayside,NY,40-06 Bell Blvd,11361
92,New York,Banhmigos,4.0,Vietnamese/Bubble Tea/Sandwiches,10/26/2019,9/30/2020,28.0,"92 Court St,New York, NY 11201",New York,NY,92 Court St,11201
93,New York,Yaya Tea Garden,4.0,Bubble Tea/Coffee & Tea/Japanese,7/26/2015,10/25/2020,199.0,"2320 86th St,Gravesend, NY 11214",Gravesend,NY,2320 86th St,11214
94,New York,Kung Fu Tea,4.0,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,12/13/2014,9/21/2020,70.0,"9 Broadway,New York, NY 10004",New York,NY,9 Broadway,10004
95,New York,Banh Mi Place,4.0,Vietnamese/Bubble Tea/Sandwiches,7/3/2015,10/27/2020,258.0,"824B Washington Ave,Brooklyn, NY 11238",Brooklyn,NY,824B Washington Ave,11238
96,New York,Savory Thai,4.0,Thai/Bubble Tea/Noodles,8/3/2019,10/29/2020,56.0,"378 Metropolitan Ave,Brooklyn, NY 11211",Brooklyn,NY,378 Metropolitan Ave,11211
97,New York,Möge Tee - Fort Lee,4.0,Bubble Tea,12/21/2019,10/17/2020,126.0,"2029 Lemoine Ave,Ste 102,Fort Lee, NJ 07024",Fort Lee,NJ,2029 Lemoine Ave,7024
98,New York,Vivi Bubble Tea,3.0,Coffee & Tea/Bubble Tea,4/15/2012,8/26/2020,204.0,"170 W 23rd St,New York, NY 10011",New York,NY,170 W 23rd St,10011
99,New York,Kung Fu Tea,4.0,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,12/17/2011,9/20/2020,122.0,"1422 Ave U,Brooklyn, NY 11229",Brooklyn,NY,1422 Ave U,11229
100,New York,Yaya Tea Newark,4.0,Bubble Tea/Comfort Food/Coffee & Tea,9/4/2020,10/2/2020,5.0,"250 Central Ave,Newark, NJ 07103",Newark,NJ,250 Central Ave,7103
101,New York,Grace Street,4.0,Coffee & Tea/Desserts/Shaved Ice,1/29/2012,10/30/2020,2522.0,"17 W 32nd St,New York, NY 10001",New York,NY,17 W 32nd St,10001
102,New York,Krua,4.0,Thai/Bubble Tea/Chicken Wings,5/11/2019,10/27/2020,55.0,"1764 1AVE,New York, NY 10128",New York,NY,1764 1AVE,10128
103,New York,Mei Mei Restaurant,3.0,Chinese/Bubble Tea,8/3/2010,7/3/2020,46.0,"2833 Grand Concourse,Bronx, NY 10468",Bronx,NY,2833 Grand Concourse,10468
104,New York,Yaya Tea Garden,4.0,Coffee & Tea/Japanese/Bubble Tea,8/2/2008,10/24/2020,490.0,"51 Chrystie St,New York, NY 10002",New York,NY,51 Chrystie St,10002
105,New York,Kung Fu Tea,3.0,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,11/14/2015,10/5/2020,171.0,"11 W 32nd St,New York, NY 10001",New York,NY,11 W 32nd St,10001
106,New York,Vivi Bubble Tea,4.0,Bubble Tea,8/20/2020,9/30/2020,6.0,"37 Broad Ave,Palisades Park, NJ 07650",Palisades Park,NJ,37 Broad Ave,7650
107,New York,Lotus Vietnamese Sandwiches,4.0,Vietnamese/Sandwiches/Bubble Tea,5/12/2010,10/29/2020,247.0,"229 5th Ave,Brooklyn, NY 11215",Brooklyn,NY,229 5th Ave,11215
108,New York,Gong Cha,4.0,Bubble Tea,10/6/2019,10/4/2020,22.0,"1698 E 14th St,Brooklyn, NY 11229",Brooklyn,NY,1698 E 14th St,11229
109,New York,Kitsby,4.0,Desserts/Coffee & Tea/Ice Cream & Frozen Yogurt,4/11/2019,10/19/2020,158.0,"186 Grand St,Brooklyn, NY 11211",Brooklyn,NY,186 Grand St,11211
110,New York,I bubble tea & cafe,5.0,Bubble Tea,9/7/2020,11/1/2020,8.0,"109 Walnut Ave,Retail 1,Cranford, NJ 07016",Cranford,NJ,109 Walnut Ave,7016
111,New York,Ama Coffee,4.0,Coffee & Tea/Bubble Tea/Sandwiches,1/8/2016,7/28/2020,58.0,"6047 Myrtle Ave,Ridgewood, NY 11385",Ridgewood,NY,6047 Myrtle Ave,11385
112,New York,Moge Tee Brooklyn,3.0,Coffee & Tea/Bubble Tea,11/11/2018,9/4/2020,47.0,"705 59th St,Unit D,Brooklyn, NY 11220",Brooklyn,NY,705 59th St,11220
113,New York,Anda Cafe,4.0,Bubble Tea/Juice Bars & Smoothies/Sushi Bars,11/7/2018,5/23/2020,20.0,"37-11 Main St,Flushing, NY 11354",Flushing,NY,37-11 Main St,11354
114,New York,Gong Cha,4.0,Bubble Tea,1/15/2020,9/30/2020,20.0,"1600 Broadway,New York, NY 10019",New York,NY,1600 Broadway,10019
115,New York,Lee Lee,4.0,Bubble Tea,6/29/2015,3/21/2020,23.0,"5718 5th Ave,Sunset Park, NY 11220",Sunset Park,NY,5718 5th Ave,11220
116,New York,Vivi Bubble Tea,3.0,Bubble Tea,5/19/2014,6/24/2020,99.0,"183 Hester St,New York, NY 10013",New York,NY,183 Hester St,10013
117,New York,Hawa Smoothies & Bubble Tea,4.0,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,7/13/2013,10/1/2020,114.0,"422 E 14th St,New York, NY 10009",New York,NY,422 E 14th St,10009
118,New York,Ollies To Go,3.0,Chinese/Japanese/Bubble Tea,6/25/2019,10/31/2020,57.0,"307 E 77th St,New York, NY 10075",New York,NY,307 E 77th St,10075
119,New York,Very Fresh Noodles,4.0,Taiwanese/Chinese/Noodles,2/27/2016,10/18/2020,1008.0,"409 W 15th St,New York, NY 10011",New York,NY,409 W 15th St,10011
120,New York,Momochai,4.0,Bubble Tea/Himalayan/Nepalese,10/15/2015,8/13/2020,54.0,"57-16 Woodside Ave,Woodside, NY 11377",Woodside,NY,57-16 Woodside Ave,11377
121,New York,Prince Tea House,4.0,Desserts/Tea Rooms/Breakfast & Brunch,9/21/2017,10/29/2020,349.0,"31-47 Steinway St,Astoria, NY 11103",Astoria,NY,31-47 Steinway St,11103
122,New York,Vivi Bubble Tea,3.0,Bubble Tea/Taiwanese,4/2/2017,3/6/2020,38.0,"325 Broadway,New York, NY 10007",New York,NY,325 Broadway,10007
123,New York,The Market,4.0,Coffee & Tea/Asian Fusion,4/20/2015,9/26/2020,135.0,"372 Lafayette Ave,Clinton Hill, NY 11238",Clinton Hill,NY,372 Lafayette Ave,11238
124,New York,Bao by Kaya,4.0,Taiwanese/Coffee & Tea/Asian Fusion,9/16/2014,3/6/2020,166.0,"570 Lexington Ave,New York, NY 10022",New York,NY,570 Lexington Ave,10022
125,New York,ViVi Bubble Tea,3.0,Bubble Tea,5/27/2014,10/25/2020,88.0,"6731 Bay Pkwy,Bensonhurst, NY 11204",Bensonhurst,NY,6731 Bay Pkwy,11204
126,New York,Home,3.0,Vietnamese/Sandwiches/Bubble Tea,1/31/2010,6/13/2020,67.0,"349 5th Ave,Brooklyn, NY 11215",Brooklyn,NY,349 5th Ave,11215
127,New York,Green E.Tea,3.0,Coffee & Tea/Desserts,8/29/2019,3/13/2020,5.0,"164 Pearl St,New York, NY 10005",New York,NY,164 Pearl St,10005
128,New York,Le Moment,3.0,Bubble Tea/Coffee & Tea/Asian Fusion,1/7/2016,11/4/2019,53.0,"69-38 Grand Ave,Queens, NY 11378",Queens,NY,69-38 Grand Ave,11378
129,New York,TSAôCAA,3.0,Desserts/Korean/Bubble Tea,10/9/2018,9/21/2020,89.0,"773 59th St,Brooklyn, NY 11220",Brooklyn,NY,773 59th St,11220
130,New York,harmony,3.0,Salad/Bubble Tea/Asian Fusion,9/9/2017,8/17/2019,14.0,"451 E 116th St,New York, NY 10029",New York,NY,451 E 116th St,10029
131,New York,Soft Swerve,4.0,Ice Cream & Frozen Yogurt,6/8/2020,10/28/2020,15.0,"379 3rd Ave,New York, NY 10016",New York,NY,379 3rd Ave,10016
132,New York,TSAôCAA,3.0,Bubble Tea,9/15/2019,10/29/2020,40.0,"38-04 Prince St,Flushing, NY 11354",Flushing,NY,38-04 Prince St,11354
133,New York,Q Tea Tapas,4.0,Bubble Tea/Sushi Bars/Poke,5/21/2016,10/12/2020,199.0,"242 Main St,Fort Lee, NJ 07024",Fort Lee,NJ,242 Main St,7024
134,New York,Cloud 9 Crepes,4.0,Creperies/Bubble Tea/Gluten-Free,7/1/2018,8/23/2020,38.0,"434 Marcus Garvey Blvd,Brooklyn, NY 11216",Brooklyn,NY,434 Marcus Garvey Blvd,11216
135,New York,Pig Pig Cafe,5.0,Bubble Tea,12/26/2019,10/11/2020,18.0,"7115 3rd Ave,Brooklyn, NY 11209",Brooklyn,NY,7115 3rd Ave,11209
136,New York,INFINITEA NY,4.0,Coffee & Tea/Bubble Tea/Cafes,4/24/2016,10/3/2020,113.0,"2309 Astoria Blvd,Astoria, NY 11102",Astoria,NY,2309 Astoria Blvd,11102
137,New York,Crepe N Tearia,3.0,Creperies/Tea Rooms/Bubble Tea,3/1/2008,9/23/2020,166.0,"177-07 Union Tpke,Fresh Meadows, NY 11366",Fresh Meadows,NY,177-07 Union Tpke,11366
138,New York,Tornado Crepe,4.0,Creperies/Ice Cream & Frozen Yogurt/Bubble Tea,4/17/2016,7/31/2020,49.0,"1808 Weirfield St,New York, NY 11385",New York,NY,1808 Weirfield St,11385
139,New York,TBaar,4.0,Bubble Tea/Juice Bars & Smoothies/Tea Rooms,8/23/2016,8/24/2020,31.0,"1323 Ave U,Brooklyn, NY 11229",Brooklyn,NY,1323 Ave U,11229
140,New York,ÜMACHA,4.0,Bubble Tea,2/15/2020,10/31/2020,57.0,"595 River Rd,Edgewater, NJ 07020",Edgewater,NJ,595 River Rd,7020
141,New York,Yifang Taiwan Fruit Tea,3.0,Bubble Tea,11/18/2019,10/16/2020,49.0,"1028 6th Ave,New York, NY 10018",New York,NY,1028 6th Ave,10018
